Code,IMD,Income,Employment,Education,Disability,Crime,Service,Environment
E09000001,20792.75,21817.75,21717.0,26107.5,24331.25,31468.25,5850.0,8587.0
E09000002,7280.2990654205605,7692.345794392523,10644.121495327103,10909.018691588784,13098.084112149532,9260.214953271028,1248.3644859813085,9840.728971962617
E09000003,19334.177033492822,17078.057416267944,19971.406698564595,25080.157894736843,27845.24880382775,15386.918660287081,7710.531100478469,12837.492822966507
E09000004,19758.36551724138,18658.43448275862,19822.455172413793,16017.986206896552,23565.186206896553,18570.35172413793,12522.248275862068,15903.972413793104
E09000005,12141.885542168675,11600.084337349397,15422.602409638554,18884.439759036144,22311.98795180723,11075.777108433735,2320.3132530120483,10268.909638554216
E09000006,21821.896373056996,20974.709844559584,21948.326424870465,23138.284974093265,26437.569948186527,17082.119170984457,10026.60621761658,17260.518134715025
E09000007,16247.744360902256,14359.135338345865,16855.24060150376,22651.526315789473,22073.947368421053,12468.406015037594,15142.84962406015,8001.526315789473
E09000008,14980.986301369863,14740.374429223744,16624.027397260274,18771.853881278537,18748.118721461185,13158.917808219177,6042.333333333333,12883.06392694064
E09000009,14076.57512953368,13524.160621761657,16225.150259067357,20977.010362694302,20598.943005181347,13500.419689119171,5005.974093264249,9124.056994818653
E09000010,12875.651685393259,11380.140449438202,14750.286516853932,16418.837078651686,23095.93820224719,13895.258426966293,3588.7303370786517,10919.044943820225
E09000011,12299.131782945737,11281.472868217053,13152.581395348838,17825.62015503876,16307.782945736433,9956.178294573643,7308.503875968992,12447.426356589147
E09000012,7393.5625,7605.75,10843.7734375,18836.5859375,10966.2265625,8732.515625,1746.4921875,7207.484375
E09000013,14201.363636363636,13775.581818181818,15834.790909090909,24530.272727272728,16717.263636363637,11435.50909090909,9253.772727272728,6883.245454545455
E09000014,11406.697183098591,11466.43661971831,14230.781690140846,18429.605633802817,18047.87323943662,7590.62676056338,5063.43661971831,7021.070422535211
E09000015,19919.78676470588,16782.389705882353,21022.95588235294,24459.183823529413,28075.132352941175,18640.54411764706,5615.867647058823,16501.433823529413
E09000016,19245.77027027027,18122.391891891893,19265.216216216217,13745.27027027027,23226.506756756757,15266.135135135135,14852.52027027027,18470.054054054053
E09000017,17651.683544303796,16471.76582278481,18921.32911392405,18209.943037974685,21268.335443037973,13738.917721518987,9390.803797468354,16061.854430379746
E09000018,14412.585185185186,14243.081481481482,17809.896296296298,20270.296296296296,19968.303703703703,11693.451851851853,5173.222222222223,9869.822222222223
E09000019,9986.622807017544,8950.570175438597,11433.263157894737,20338.219298245614,12099.017543859649,7758.149122807017,9094.701754385966,7064.745614035088
E09000020,15419.339805825242,18563.563106796115,19982.93203883495,27356.68932038835,25599.06796116505,11929.796116504855,4270.155339805825,4198.495145631068
E09000021,23524.625,21431.5625,23961.989583333332,25755.552083333332,27274.822916666668,21195.885416666668,12327.916666666666,12971.479166666666
E09000022,11325.628571428571,11609.971428571429,14852.582857142857,21917.977142857144,13981.034285714286,9471.828571428572,8604.497142857143,4042.782857142857
E09000023,10918.84375,10478.49375,13030.44375,19304.7125,15169.6375,11174.21875,5157.16875,6866.3625
E09000024,20967.604838709678,19170.032258064515,22137.354838709678,23989.387096774193,23786.927419354837,17348.040322580644,15129.798387096775,9856.048387096775
E09000025,8369.576158940397,8862.271523178808,13663.033112582782,15020.761589403974,16368.721854304637,10253.814569536424,499.42384105960264,8683.562913907284
E09000026,18199.576923076922,15611.551282051281,19744.80128205128,21853.852564102563,25521.602564102563,12666.442307692309,9956.961538461539,12285.339743589744
E09000027,25802.610619469026,24242.389380530974,25246.87610619469,29401.699115044248,29557.008849557522,17417.94690265487,20277.513274336285,11139.504424778761
E09000028,11256.228758169935,10973.21568627451,13873.803921568628,21292.70588235294,14338.803921568628,9868.450980392157,6032.581699346405,7069.581699346405
E09000029,21541.316666666666,19716.958333333332,21003.475,21561.166666666668,23282.85,18765.891666666666,14481.291666666666,15048.058333333332
E09000030,9242.6,7746.766666666666,12244.383333333333,16421.791666666668,12572.008333333333,8367.391666666666,7415.85,8240.758333333333
E09000031,11783.503496503496,11811.804195804196,15151.356643356643,16688.944055944055,18449.125874125875,10799.167832167832,4314.426573426574,7429.853146853146
E09000032,18727.27485380117,17795.56140350877,21549.83625730994,26171.526315789473,21118.444444444445,14790.994152046784,10933.584795321638,8470.461988304094
E09000033,17260.9,17380.927272727273,19489.69090909091,25081.227272727272,24569.2,15446.709090909091,13911.99090909091,4880.545454545455
